retailer_code:1,Division,Brand,pallet_number,full_,jnumber,model_number,title,Qty,msrp,Total Cost,Retail,Total Retail,Margin %,Margin $,eBay Price,sku,box,condition,condition_notes,band_size,date_listed,repair,manifested,upc
,Watches,Invicta,Watches4,J424810-00152-04168,J424810,,INVICTA MENS GRAND LUPAH QUARTZ MULTIFUNCITON 5-PIECE LEATHER STRAP SET GUNMETAL SIZE: MENS,1,$67.38,$67.38,,,,,,1001,no movement 1,stem and crown broken,missing,,,,X,
,Watches,Invicta,Watches4,J178163-00140-00000,J178163,,INVICTA WATCH TOOL KIT YELLOW NO SIZE,1,$66.00,$198.00,,,,,,1002,no other 1,,missing most,,,,X,
,Watches,Invicta,Watches4,J176344-09540-01593,J176344,,STSTL WTCH INVICTA WOMENS BABY LUPAH QUARTZ GENUINE LEATHER STRAP SET ROSETONE SIZE: WOMENS,1,$112.50,$112.50,,,,,,1003,,2,,,,,X,
,Watches,Invicta,Watches4,J176344-00465-01593,J176344,,STSTL WTCH INVICTA WOMENS BABY LUPAH QUARTZ GENUINE LEATHER STRAP SET GOLDTONE SIZE: WOMENS,1,$112.50,$337.50,,,,,,1004,,2,missing one band,,,,X,
,Watches,Misc Brand,Watches4,J436627-09540-04168,J436627,,CONSTANTIN WEISZ MENS AUTOMATIC MULTI-FUNCTION LEATHER STRAP WATCH ROSETONE MENS,1,$79.56,$79.56,,,,,,1005,,2,,,,,X,
,Watches,Misc Brand,Watches4,J420080-00006-01593,J420080,,CONSTANTIN WEISZ WOMENS PEACOCK DIAL AUTOMATIC STRAP WATCH BLUE SIZE: WOMENS,1,$53.52,$107.04,,,,,,1006,,2,,,,,X,
,Watches,Misc Brand,Watches4,J436630-00465-04168,J436630,,CONSTANTIN WEISZ MENS AUTOMATIC MOP DIAL MULTI-FUNCTION LEATHER STRAP WATCH GOLDTONE MENS,1,$87.52,$87.52,,,,,,1007,,2,,,,,X,
,Watches,Misc Brand,Watches4,J179317-14120-04168,J179317,,WTCH CASIO G SHOCK QUARTZ CHRONOGRAPH MULTI BAND 6 STRAP WATCH BLACK / ORANGE SIZE: MENS,1,$260.00,$520.00,,,,,,1008,,2,,,,,X,
,Watches,Android,Watches4,J415313-00000-00000,J415313,,24MM ALLIGATOR STRAP SET NO COLOR NO SIZE,1,$49.23,$49.23,,,,,,1009,,2,new,,,,X,
,Watches,Misc Brand,Watches4,J436731-00466-01593,J436731,,PORSAMO BLEU WOMENS MILAN CRYSTAL SWISS PARTS BRACELET WATCH SILVERTONE WOMENS,1,$110.76,$110.76,,,,,,1010,,2,,8.5,,,X,
,Watches,Misc Brand,Watches4,J436731-00465-01593,J436731,,PORSAMO BLEU WOMENS MILAN CRYSTAL SWISS PARTS BRACELET WATCH GOLDTONE WOMENS,1,$110.76,$110.76,,,,,,1011,,2,new,8.5,,,X,
,Watches,Misc Brand,Watches4,J437704-06564-04168,J437704,,CONSTANTIN WEISZ MENS MECHANICAL TOURBILLON ALLIGATOR STRAP WATCH SILVERTONE / BLACK MENS,1,$670.22,2680.88,,,,,,1012,,2,,,,,X,
,Watches,Misc Brand,Watches4,J436639-09540-04168,J436639,,CONSTANTIN WEISZ MENS AUTOMATIC DOUBLE LAYER DIAL MESH BRACELET WATCH W/ 6 SLOT ROSETONE MENS,1,$89.77,$448.85,,,,,,1013,,2,,7.75,,,X,
,Watches,Misc Brand,Watches4,J433429-00465-01593,J433429,,CLARA WOMENS CRYSTAL ACCENTED QUARTZ BRACELET WATCH GOLDTONE WOMENS,1,$36.65,$36.65,,,,,,1014,,2,new,,,,X,
,Watches,Invicta,Watches4,J416270-00466-01593,J416270,,INVICTA WOMENS PRO DIVER QUARTZ DIAMOND PAVE DIAL WATCH W/ PINK COLLECTOR CASE SILVERTONE WOMENS,1,$820.00,$820.00,,,,,,1015,,2,,5,,,X,
,Watches,Adee Kaye - Oniss,Watches4,J431122-00152-01593,J431122,,TTV ONISS WOMENS BELLISSIMA CERAMIC BRACELET WATCH WITH SWAROVSKI ELEMENTS GUNMETAL WOMENS,1,$49.83,$99.66,,,,,,1016,,2,,7,,,X,
,Watches,Misc Brand,Watches4,J438147-00012-01593,J438147,,"WEWOOD WOMENS ""ROMAN"" QUARTZ MOVEMENT WOODEN BRACELET WATCH BEIGE WOMENS",1,$135.00,$135.00,,,,,,1017,,2,,8,,,X,
,Watches,Misc Brand,Watches4,J430026-00003-04168,J430026,,WEWOOD MENS VOYAGE QUARTZ MOVEMENT WOODEN BRACELET WATCH BLACK MENS,1,$140.00,$140.00,,,,,,1018,no movement 1,minute hand loose,point of attachment is broken,,,,X,
,Watches,Misc Brand,Watches4,J430029-00012-04168,J430029,,WEWOOD MENS JUPITER QUARTZ DUAL TIME WOODEN BRACELET WATCH BEIGE MENS,1,$135.00,$135.00,,,,,,1019,no other 1,crystal cracked,,,,,X,
,Watches,Invicta,Watches4,J428605-00004-01593,J428605,,INVICTA WOMENS CERAMICS QUARTZ BRACELET WATCH WHITE WOMENS,1,$65.82,$65.82,,,,,,1020,no band 1,,,,,,X,
,Watches,Misc Brand,Watches4,J438789-00466-01593,J438789,,PORSAMO BLEU WOMENS PARIS DIAMOND ACCENTED QUARTZ BRACELET WATCH SILVERTONE WOMENS,1,$155.20,$155.20,,,,,,1021,,2,,6.25,,,X,
,Watches,Invicta,Watches4,J176344-00465-01593,J176344,,STSTL WTCH INVICTA WOMENS BABY LUPAH QUARTZ GENUINE LEATHER STRAP SET GOLDTONE SIZE: WOMENS,1,$112.50,$337.50,,,,,,1022,,2,,,,,X,
,Watches,Misc Brand,Watches4,J438147-00090-01593,J438147,,"WEWOOD WOMENS ""ROMAN"" QUARTZ MOVEMENT WOODEN BRACELET WATCH CHOCOLATE WOMENS",1,$135.00,$135.00,,,,,,1023,,2,,,,,X,
,Watches,Misc Brand,Watches4,J430027-00090-04168,J430027,,WEWOOD MENS METIS QUARTZ MOVEMENT WOODEN BRACELET WATCH CHOCOLATE MENS,1,$120.00,$240.00,,,,,,1024,no other 1,cracked crystal,,,,,X,
,Watches,Adee Kaye - Oniss,Watches4,J424182-00003-04168,J424182,,ADEE KAYE MENS CHRONOGRAPH DUAL TIME SILICON STRAP WATCH BLACK MENS,1,$94.68,$94.68,,,,,,1025,,2,,,,,X,
,Watches,Misc Brand,Watches4,J439065-09540-01593,J439065,,PORSAMO BLEU WOMENS BELLEZZA FLOATING HEART WATCH W/ SWAROVSKI ELEMENTS ROSETONE WOMENS,1,$156.00,$312.00,,,,,,1026,,2,,,,,X,
,Watches,Misc Brand,Watches4,J438798-00466-04168,J438798,,PORSAMO BLEU MENS LAS VEGAS SWISS CHRONO BRACELET WATCH W/ 2 EXTRA BEZELS SILVERTONE MENS,1,$129.32,$129.32,,,,,,1027,,2,,,,,X,
,Watches,Android,Watches4,J437522-00003-04168,J437522,,TTV ANDROID GALACTOPUS TOUCH SCREEN SMART BLUETOOTH STRAP WATCH BLACK MENS,1,$315.00,$315.00,,,,,,1028,no other 1,case is broken at lug,,,,,X,
,Watches,Misc Brand,Watches4,J423766-00003-01593,J423766,,CLARA WOMENS CRYSTAL ACCENTED MOP DIAL QUARTZ BRACELET WATCH BLACK WOMENS,1,$119.75,$119.75,,,,,,1029,,2,,,,,X,
,Watches,Misc Brand,Watches4,J179317-14120-04168,J179317,,WTCH CASIO G SHOCK QUARTZ CHRONOGRAPH MULTI BAND 6 STRAP WATCH BLACK / ORANGE SIZE: MENS,1,$260.00,$520.00,,,,,,1030,,2,,,,,X,
,Watches,Invicta,Watches4,J440410-00466-01593,J440410,,INVICTA WOMENS ANGEL QUARTZ SQUARE CASE 5 PC LEATHER STRAP SET SILVERTONE WOMENS,1,$35.54,$35.54,,,,,,1031,,2,,,,,X,
,Watches,Invicta,Watches4,J431196-09540-01593,J431196,,INVICTA WOMENS WILDFLOWER QUARTZ 5PC INTERCHANGEABLE STRAP SET ROSETONE WOMENS,1,$43.10,$43.10,,,,,,1032,,2,,,,,X,
,Watches,Invicta,Watches4,J428084-00152-04168,J428084,,INVICTA MENS LUPAH GRAND QUARTZ CHRONOGRAPH 5PC STRAP WATCH GUNMETAL SIZE: MENS,1,$106.75,$106.75,,,,,,1033,,2,,,,,X,
,Watches,Adee Kaye - Oniss,Watches4,J402288-34903-01593,J402288,,ONISS WOMENS CERAMICA AMOR COLLECTION CERAMIC BRACELET WATCH LIGHT PEACH SIZE: WOMENS,1,$54.97,$54.97,,,,,,1034,,2,,6.75,,,X,
,Watches,Adee Kaye - Oniss,Watches4,J402288-00009-01593,J402288,,ONISS WOMENS CERAMICA AMOR COLLECTION CERAMIC BRACELET WATCH GREEN SIZE: WOMENS,1,$54.97,$109.94,,,,,,1035,no other 1,case broken ,,,,,X,
,Watches,Adee Kaye - Oniss,Watches4,J402288-00003-01593,J402288,,ONISS WOMENS CERAMICA AMOR COLLECTION CERAMIC BRACELET WATCH BLACK SIZE: WOMENS,1,$54.97,$54.97,,,,,,1036,,2,,7,,,X,
,Watches,Misc Brand,Watches4,J436638-00465-01593,J436638,,CONSTANTIN WEISZ WOMENS AUTOMATIC SKELETON LEATHER STRAP WATCH GOLDTONE WOMENS,1,$89.01,$89.01,,,,,,1037,,2,,,,,X,
